Time  1 - default sample rate;Load;Displacement;AccelerometerX;0 Degrees Transvers on Axle;Rosett +45 Degrees Along Axle;Rosett  90 Degrees Along Axle;Rosett  -45 Degrees Along Axle;Radius +45 Degrees Along Axle;MX840A_0 hardware time default sample rate                      
0,540000026;-4,526277542;-0,00168467;-0,053679802;-0,237637371;-0,131290942;-1,63837254;-4,447725296;0,137126356;948333419,2
0,543333359;-4,529166222;-0,001798957;-0,018361265;-0,38117668;-0,1456635;-0,524695396;-3,601115942;0,137126356;948333419,2
0,546666693;-4,558638573;-0,002002281;-0,100490756;-0,49551788;-0,483323425;0,910647631;-3,378543615;0,137126356;948333419,2
0,550000026;-4,756610394;-0,002386938;0,00301422;0,108383551;-0,227621004;0,595965683;-3,298614025;0,137126356;948333419,2
0,55333336;-4,638598442;-0,001643301;-0,046138451;0,182218716;-0,482949734;-3,702540636;-3,388267279;0,137126356;948333419,2
0,556666693;-4,672120094;-0,001785567;0,008943724;0,164771974;-0,511136055;-5,114266396;-3,235758066;0,137126356;948333419,2
0,560000027;-4,813043118;-0,001956614;-0,063593857;0,058175363;-0,396567702;-8,348913193;-3,494050741;0,137126356;948333419,2
0,56333336;-4,678930759;-0,001853914;-0,170727685;-0,111908905;-0,480257809;-4,550222397;-3,323660135;0,137126356;948333419,2
0,566666694;-4,658712387;-0,001818661;-0,015565561;-0,141133621;-0,641948223;-2,107802153;-2,758921385;0,137126356;948333419,2
0,570000027;-4,679137707;-0,002231095;-0,05213828;0,160378769;-0,58874321;-7,574106693;-2,413360834;0,137126356;948333419,2
0,573333361;-4,624234676;-0,00218146;-0,011400014;-0,04823228;-0,360576898;-9,149412155;-3,363559484;0,137126356;948333419,2
0,576666694;-4,550312042;-0,001999923;-0,036786452;-0,038364436;-0,596984625;-2,614313364;-3,970105886;0,137126356;948333419,2
0,580000028;-4,5754776;-0,001876264;-0,053814042;-0,009631242;-0,388648093;1,883386612;-4,716409206;0,137126356;948333419,2
0,583333361;-4,657494068;-0,00186307;-0,022222538;-0,565219462;-0,224079847;2,139184475;-4,896009445;0,137126356;948333419,2
0,586666695;-4,611780643;-0,002599691;-0,11231339;-0,438613683;0,100992173;-2,168305635;-5,969977856;0,137126356;948333419,2
0,590000028;-4,582095146;-0,001952884;-0,001166931;-0,120129369;-0,146075726;-6,611496449;-6,091098309;0,137126356;948333419,2
0,593333362;-4,617898941;-0,00214142;0,043640554;-0,398968041;-0,50918138;-9,465701103;-5,193785667;0,137126356;948333419,2
0,596666695;-4,605935097;-0,002449192;0,132164955;-0,16040343;-0,323449731;-1,348419428;-6,528361797;0,137126356;948333419,2
0,600000028;-4,585927963;-0,001426284;0,004406009;-0,112813398;-0,4365336;-1,991931558;-6,697574615;0,137126356;948333419,3
